Metric,Value
SimulationDurationSeconds,0.00
FirstVictimDiscoverySeconds,24.94
FirstVictimRescueSeconds,-1.00
TotalVictimsDiscovered,1
TotalVictimsRescued,0
TotalVictims,1
FinalMapExplorationPercentage,9.01
TotalDrones,10
ActiveDrones,10
DisabledDrones,0
AverageMapExplorationPercentage,5.06
RescueSuccessRate,0.00
