Metric,Value
SimulationDurationSeconds,0.00
FirstVictimDiscoverySeconds,22.67
FirstVictimRescueSeconds,-1.00
TotalVictimsDiscovered,1
TotalVictimsRescued,0
TotalVictims,0
FinalMapExplorationPercentage,13.47
TotalDrones,3
ActiveDrones,3
DisabledDrones,0
AverageMapExplorationPercentage,7.78
RescueSuccessRate,0.00
