ElapsedTime,ActiveDrones,DisabledDrones,MapExplorationPercentage,VictimsDiscovered,VictimsRescued,TotalVictims
1.05,7,0,0.44,0,0,1
2.29,14,0,0.95,0,0,1
3.29,15,0,1.48,0,0,1
4.62,15,0,1.98,0,0,1
5.62,15,0,2.10,0,0,1
6.62,15,0,2.22,0,0,1
7.66,15,0,2.30,0,0,1
8.69,15,0,2.43,0,0,1
9.78,15,0,2.49,0,0,1
10.78,15,0,2.64,0,0,1
11.78,15,0,2.91,0,0,1
12.78,15,0,3.15,0,0,1
13.78,15,0,3.33,0,0,1
14.90,15,0,3.39,0,0,1
15.91,15,0,3.59,0,0,1
16.93,15,0,3.75,0,0,1
17.93,15,0,3.84,0,0,1
18.94,15,0,4.16,0,0,1
19.96,15,0,4.26,0,0,1
20.97,15,0,4.46,0,0,1
22.00,15,0,4.57,0,0,1
23.01,15,0,4.66,1,0,1
24.01,15,0,4.78,1,0,1
25.03,15,0,5.05,1,0,1
26.04,15,0,5.40,1,0,1
27.05,15,0,5.88,1,0,1
28.07,15,0,6.01,1,0,1
29.07,15,0,6.11,1,0,1
30.08,15,0,6.31,1,0,1
31.10,15,0,6.49,1,0,1
32.10,15,0,6.62,1,0,1
33.12,15,0,7.00,1,0,1
34.14,15,0,7.29,1,0,1
35.14,15,0,7.54,1,0,1
36.15,15,0,7.68,1,0,1
37.15,15,0,8.03,1,0,1
38.28,15,0,8.48,1,0,1
39.35,15,0,8.72,1,0,1
40.38,15,0,8.87,1,0,1
41.42,15,0,9.13,1,0,1
42.43,15,0,9.23,1,0,1
43.49,15,0,9.41,1,0,1
44.57,15,0,9.45,1,0,1
45.62,15,0,9.48,1,0,1
46.70,15,0,9.68,1,0,1
47.70,15,0,9.81,1,0,1
48.74,15,0,10.08,1,0,1
49.77,15,0,10.21,1,0,1
50.78,15,0,10.40,1,0,1
51.80,15,0,10.52,1,0,1
52.80,15,0,10.60,1,0,1
53.91,15,0,10.90,1,0,1
54.92,15,0,11.10,1,0,1
55.97,15,0,11.14,1,0,1
56.98,15,0,11.22,1,0,1
57.99,15,0,11.31,1,0,1
59.01,15,0,11.35,1,0,1
60.03,15,0,11.49,1,0,1
61.04,15,0,11.67,1,0,1
62.04,15,0,11.77,1,0,1
63.05,15,0,12.13,1,0,1
64.06,15,0,12.37,1,0,1
65.06,15,0,12.39,1,0,1
66.10,15,0,12.52,1,0,1
67.10,15,0,12.61,1,0,1
68.11,15,0,12.65,1,0,1
69.15,15,0,12.75,1,0,1
70.23,15,0,12.87,1,0,1
71.23,15,0,13.13,1,0,1
72.25,15,0,13.15,1,0,1
73.28,15,0,13.17,1,0,1
74.30,15,0,13.37,1,0,1
75.36,15,0,13.47,1,0,1
