ElapsedTime,ActiveDrones,DisabledDrones,MapExplorationPercentage,VictimsDiscovered,VictimsRescued,TotalVictims
1.04,6,0,0.47,0,0,1
2.24,13,0,1.02,0,0,1
3.34,15,0,1.32,0,0,1
4.38,15,0,1.90,0,0,1
5.40,15,0,2.51,0,0,1
6.42,15,0,3.13,0,0,1
7.44,15,0,3.32,0,0,1
8.48,15,0,3.64,0,0,1
9.48,15,0,3.88,0,0,1
10.49,15,0,4.14,0,0,1
11.68,15,0,4.33,0,0,1
12.89,15,0,4.72,0,0,1
14.00,15,0,4.96,0,0,1
15.17,15,0,5.21,0,0,1
16.17,15,0,5.40,0,0,1
17.17,15,0,5.67,0,0,1
18.17,15,0,5.78,0,0,1
19.18,15,0,5.87,0,0,1
20.22,15,0,5.95,0,0,1
21.26,15,0,6.00,0,0,1
22.28,15,0,6.12,0,0,1
23.30,15,0,6.32,0,0,1
24.33,15,0,6.60,0,0,1
25.38,15,0,6.72,0,0,1
26.42,15,0,6.85,0,0,1
27.44,15,0,7.06,0,0,1
28.44,15,0,7.19,0,0,1
29.68,15,0,7.39,0,0,1
30.95,15,0,7.73,0,0,1
31.95,15,0,7.81,0,0,1
32.95,15,0,7.89,0,0,1
33.95,15,0,7.94,0,0,1
34.99,15,0,7.96,0,0,1
36.08,15,0,8.14,0,0,1
37.20,15,0,8.21,0,0,1
38.22,15,0,8.25,0,0,1
39.23,15,0,8.28,0,0,1
